중식계,석식계
662.0,414.0
1053.0,604.0
1246.0,623.0
1114.0,463.0
1156.0,596.0
570.0,256.0
1090.0,446.0
1115.0,569.0
801.0,375.0
876.0,507.0
1168.0,500.0
917.0,534.0
849.0,304.0
803.0,497.0
607.0,269.0
1062.0,488.0
891.0,533.0
662.0,361.0
579.0,582.0
1006.0,540.0
541.0,402.0
1329.0,666.0
884.0,641.0
994.0,535.0
867.0,550.0
1044.0,622.0
551.0,313.0
826.0,542.0
967.0,487.0
630.0,397.0
975.0,489.0
1138.0,0.0
387.0,226.0
1243.0,649.0
1231.0,501.0
810.0,356.0
958.0,545.0
955.0,552.0
1103.0,464.0
839.0,377.0
1163.0,573.0
1114.0,554.0
805.0,342.0
765.0,524.0
780.0,302.0
994.0,384.0
1046.0,580.0
918.0,414.0
767.0,0.0
794.0,454.0
856.0,456.0
939.0,571.0
883.0,441.0
910.0,489.0
491.0,406.0
813.0,489.0
994.0,545.0
1148.0,432.0
661.0,389.0
565.0,482.0
1030.0,605.0
1008.0,519.0
928.0,570.0
1033.0,550.0
930.0,434.0
1020.0,671.0
785.0,419.0
1061.0,443.0
621.0,416.0
924.0,566.0
912.0,340.0
1005.0,599.0
888.0,463.0
989.0,630.0
936.0,523.0
867.0,560.0
845.0,550.0
644.0,460.0
1040.0,571.0
585.0,394.0
1109.0,0.0
830.0,523.0
664.0,411.0
450.0,237.0
1076.0,523.0
855.0,516.0
579.0,217.0
1038.0,414.0
811.0,508.0
883.0,521.0
952.0,477.0
722.0,368.0
917.0,531.0
830.0,457.0
830.0,472.0
573.0,320.0
1087.0,522.0
1260.0,566.0
800.0,486.0
778.0,557.0
680.0,192.0
851.0,372.0
829.0,506.0
1260.0,539.0
1137.0,535.0
722.0,418.0
1211.0,564.0
1173.0,411.0
1156.0,506.0
773.0,475.0
952.0,551.0
613.0,485.0
1242.0,551.0
1311.0,658.0
881.0,514.0
845.0,637.0
596.0,422.0
1135.0,450.0
865.0,423.0
797.0,414.0
408.0,362.0
960.0,570.0
625.0,419.0
1175.0,512.0
721.0,548.0
1099.0,592.0
1363.0,609.0
988.0,578.0
873.0,566.0
1170.0,421.0
931.0,590.0
1306.0,594.0
883.0,436.0
627.0,358.0
1277.0,707.0
1150.0,589.0
813.0,540.0
742.0,334.0
1105.0,0.0
926.0,0.0
854.0,582.0
736.0,437.0
780.0,397.0
760.0,0.0
1076.0,430.0
1055.0,510.0
1221.0,590.0
543.0,362.0
733.0,328.0
832.0,411.0
547.0,353.0
910.0,324.0
1019.0,575.0
930.0,0.0
823.0,449.0
462.0,221.0
875.0,451.0
1142.0,609.0
703.0,483.0
970.0,412.0
1141.0,573.0
730.0,388.0
575.0,362.0
1087.0,578.0
895.0,303.0
914.0,505.0
860.0,379.0
1068.0,478.0
1011.0,520.0
784.0,354.0
787.0,564.0
803.0,449.0
850.0,483.0
1057.0,593.0
660.0,493.0
767.0,475.0
1362.0,771.0
955.0,620.0
730.0,475.0
930.0,465.0
642.0,379.0
986.0,478.0
1355.0,687.0
383.0,262.0
678.0,529.0
882.0,571.0
1086.0,584.0
1029.0,577.0
1218.0,541.0
952.0,537.0
1156.0,704.0
1167.0,451.0
1017.0,573.0
715.0,460.0
543.0,342.0
1224.0,540.0
1207.0,564.0
714.0,484.0
975.0,518.0
1273.0,712.0
773.0,534.0
898.0,395.0
398.0,259.0
863.0,394.0
781.0,550.0
631.0,315.0
1161.0,655.0
607.0,438.0
740.0,321.0
761.0,434.0
700.0,460.0
876.0,0.0
708.0,479.0
870.0,498.0
602.0,454.0
915.0,423.0
804.0,486.0
759.0,386.0
954.0,519.0
844.0,403.0
1196.0,352.0
1144.0,535.0
1014.0,377.0
543.0,234.0
623.0,368.0
1077.0,476.0
656.0,237.0
793.0,424.0
868.0,478.0
986.0,512.0
915.0,176.0
1120.0,521.0
1146.0,0.0
812.0,541.0
585.0,386.0
890.0,533.0
904.0,441.0
1046.0,632.0
594.0,432.0
881.0,423.0
1216.0,648.0
1000.0,473.0
848.0,555.0
757.0,521.0
957.0,0.0
616.0,466.0
1372.0,673.0
953.0,583.0
450.0,235.0
1277.0,460.0
775.0,472.0
1165.0,536.0
698.0,463.0
648.0,410.0
873.0,396.0
879.0,513.0
1140.0,511.0
846.0,499.0
836.0,527.0
1203.0,505.0
1228.0,612.0
358.0,165.0
734.0,455.0
332.0,135.0
698.0,557.0
955.0,645.0
605.0,409.0
758.0,380.0
955.0,534.0
776.0,446.0
528.0,370.0
969.0,466.0
599.0,393.0
1073.0,527.0
902.0,446.0
692.0,380.0
1015.0,480.0
625.0,429.0
1030.0,516.0
797.0,0.0
456.0,456.0
1328.0,556.0
1015.0,628.0
856.0,0.0
1089.0,594.0
1314.0,678.0
784.0,335.0
766.0,448.0
1000.0,531.0
1241.0,492.0
795.0,513.0
760.0,503.0
713.0,421.0
832.0,460.0
505.0,381.0
796.0,459.0
1235.0,500.0
1364.0,689.0
548.0,467.0
886.0,526.0
1035.0,457.0
1233.0,633.0
953.0,468.0
808.0,501.0
1284.0,630.0
708.0,410.0
1068.0,548.0
760.0,306.0
769.0,412.0
850.0,499.0
759.0,454.0
648.0,463.0
939.0,630.0
1000.0,625.0
1012.0,583.0
1142.0,625.0
954.0,486.0
709.0,446.0
1039.0,627.0
720.0,337.0
1004.0,559.0
1038.0,480.0
779.0,483.0
594.0,203.0
814.0,396.0
1214.0,552.0
682.0,485.0
1405.0,598.0
1265.0,746.0
1207.0,585.0
701.0,337.0
631.0,425.0
800.0,391.0
496.0,454.0
923.0,345.0
924.0,445.0
821.0,501.0
877.0,588.0
888.0,424.0
744.0,322.0
892.0,465.0
1097.0,519.0
915.0,498.0
1054.0,689.0
1185.0,710.0
629.0,317.0
661.0,591.0
740.0,485.0
873.0,593.0
904.0,490.0
1005.0,472.0
880.0,458.0
791.0,533.0
1146.0,585.0
1192.0,328.0
699.0,565.0
827.0,520.0
919.0,413.0
1189.0,522.0
968.0,278.0
963.0,522.0
771.0,500.0
789.0,494.0
723.0,636.0
921.0,535.0
1237.0,479.0
914.0,418.0
976.0,416.0
731.0,475.0
1258.0,609.0
540.0,367.0
895.0,442.0
639.0,442.0
916.0,588.0
799.0,423.0
677.0,466.0
851.0,0.0
586.0,317.0
731.0,411.0
1298.0,657.0
731.0,484.0
862.0,321.0
1186.0,603.0
1127.0,549.0
1115.0,538.0
963.0,578.0
1065.0,0.0
823.0,507.0
909.0,598.0
956.0,536.0
789.0,334.0
1033.0,463.0
1034.0,606.0
927.0,582.0
962.0,486.0
857.0,494.0
885.0,414.0
654.0,419.0
1000.0,673.0
837.0,673.0
1152.0,509.0
1120.0,525.0
843.0,539.0
695.0,0.0
622.0,467.0
889.0,564.0
871.0,408.0
1196.0,527.0
791.0,530.0
1254.0,495.0
936.0,464.0
876.0,590.0
787.0,512.0
1147.0,539.0
835.0,0.0
1215.0,482.0
1202.0,633.0
839.0,420.0
710.0,393.0
1180.0,546.0
533.0,416.0
745.0,462.0
1298.0,645.0
1159.0,559.0
1180.0,594.0
800.0,524.0
973.0,433.0
776.0,401.0
968.0,567.0
1109.0,531.0
1260.0,489.0
1023.0,0.0
747.0,220.0
1228.0,557.0
840.0,555.0
930.0,593.0
714.0,430.0
1144.0,553.0
745.0,457.0
540.0,230.0
973.0,553.0
970.0,504.0
977.0,545.0
898.0,529.0
1004.0,620.0
854.0,410.0
849.0,556.0
908.0,384.0
1002.0,620.0
661.0,501.0
602.0,431.0
783.0,520.0
969.0,562.0
945.0,454.0
857.0,443.0
890.0,475.0
563.0,399.0
1201.0,597.0
1235.0,533.0
902.0,573.0
668.0,482.0
639.0,420.0
1092.0,482.0
716.0,562.0
763.0,443.0
1085.0,601.0
1225.0,536.0
631.0,478.0
1149.0,418.0
895.0,363.0
1171.0,600.0
763.0,373.0
1079.0,489.0
786.0,0.0
1193.0,555.0
962.0,432.0
1065.0,483.0
869.0,344.0
739.0,392.0
702.0,500.0
855.0,421.0
973.0,575.0
1052.0,653.0
829.0,501.0
817.0,468.0
660.0,381.0
1051.0,667.0
1145.0,502.0
924.0,465.0
831.0,383.0
1107.0,561.0
1231.0,631.0
1221.0,547.0
745.0,0.0
926.0,455.0
877.0,609.0
953.0,537.0
872.0,423.0
640.0,378.0
853.0,491.0
949.0,427.0
829.0,541.0
1326.0,625.0
627.0,380.0
1223.0,570.0
1319.0,768.0
974.0,396.0
440.0,274.0
861.0,523.0
1140.0,601.0
651.0,522.0
1176.0,498.0
693.0,374.0
866.0,483.0
692.0,275.0
820.0,395.0
839.0,407.0
972.0,629.0
1069.0,485.0
898.0,544.0
1035.0,469.0
1214.0,470.0
813.0,519.0
1096.0,438.0
889.0,545.0
1009.0,645.0
1068.0,603.0
789.0,488.0
941.0,588.0
671.0,456.0
682.0,407.0
753.0,532.0
1199.0,563.0
748.0,554.0
572.0,256.0
936.0,445.0
1028.0,559.0
773.0,474.0
989.0,626.0
886.0,446.0
1299.0,645.0
923.0,423.0
1140.0,552.0
1075.0,439.0
524.0,213.0
852.0,487.0
1178.0,608.0
525.0,298.0
935.0,440.0
1176.0,616.0
1276.0,604.0
765.0,515.0
844.0,147.0
997.0,639.0
944.0,0.0
1044.0,497.0
1110.0,651.0
581.0,467.0
939.0,484.0
1261.0,619.0
1292.0,730.0
980.0,449.0
1061.0,529.0
1084.0,527.0
875.0,405.0
1026.0,609.0
1078.0,497.0
855.0,522.0
790.0,461.0
791.0,550.0
710.0,390.0
633.0,350.0
639.0,380.0
956.0,571.0
1276.0,640.0
1107.0,540.0
716.0,580.0
783.0,468.0
842.0,445.0
864.0,553.0
958.0,567.0
1083.0,754.0
860.0,437.0
1215.0,755.0
808.0,517.0
640.0,332.0
1023.0,561.0
994.0,544.0
1248.0,544.0
955.0,503.0
1138.0,679.0
984.0,319.0
1093.0,421.0
685.0,117.0
805.0,475.0
939.0,561.0
817.0,424.0
724.0,518.0
1107.0,465.0
984.0,535.0
861.0,472.0
911.0,617.0
886.0,567.0
1039.0,331.0
763.0,441.0
718.0,436.0
663.0,0.0
816.0,349.0
719.0,320.0
948.0,464.0
1115.0,630.0
620.0,371.0
999.0,462.0
687.0,349.0
823.0,314.0
862.0,546.0
910.0,0.0
1292.0,582.0
880.0,547.0
821.0,509.0
1178.0,554.0
770.0,482.0
517.0,251.0
754.0,532.0
1240.0,680.0
591.0,131.0
1132.0,454.0
594.0,270.0
1283.0,687.0
1282.0,767.0
771.0,0.0
1127.0,453.0
827.0,514.0
1005.0,549.0
1102.0,649.0
1286.0,586.0
675.0,441.0
1173.0,497.0
905.0,607.0
1124.0,442.0
575.0,436.0
978.0,525.0
943.0,574.0
866.0,444.0
897.0,436.0
765.0,475.0
971.0,379.0
784.0,406.0
946.0,0.0
1041.0,364.0
805.0,435.0
711.0,343.0
658.0,275.0
945.0,455.0
742.0,519.0
1126.0,489.0
814.0,490.0
741.0,124.0
1116.0,451.0
1118.0,552.0
1141.0,563.0
860.0,414.0
1216.0,591.0
639.0,309.0
916.0,513.0
1273.0,571.0
929.0,247.0
1158.0,596.0
662.0,415.0
1212.0,586.0
631.0,458.0
641.0,448.0
753.0,494.0
926.0,504.0
837.0,515.0
637.0,369.0
674.0,353.0
1145.0,563.0
477.0,212.0
1268.0,672.0
850.0,0.0
1221.0,560.0
799.0,337.0
761.0,457.0
589.0,473.0
735.0,490.0
858.0,197.0
1130.0,477.0
613.0,472.0
572.0,392.0
1271.0,662.0
1065.0,477.0
1195.0,599.0
609.0,441.0
791.0,510.0
944.0,436.0
575.0,385.0
940.0,647.0
759.0,305.0
847.0,369.0
795.0,568.0
945.0,476.0
856.0,525.0
893.0,435.0
571.0,0.0
581.0,345.0
762.0,529.0
797.0,382.0
717.0,401.0
789.0,350.0
1105.0,609.0
505.0,251.0
1021.0,356.0
765.0,334.0
833.0,0.0
616.0,435.0
761.0,483.0
862.0,326.0
910.0,472.0
839.0,567.0
732.0,0.0
769.0,456.0
931.0,552.0
1262.0,902.0
1213.0,577.0
932.0,449.0
907.0,408.0
652.0,507.0
1190.0,481.0
953.0,362.0
940.0,531.0
1417.0,689.0
821.0,579.0
903.0,0.0
466.0,313.0
782.0,354.0
882.0,420.0
1105.0,540.0
1017.0,547.0
1088.0,542.0
811.0,473.0
1238.0,776.0
970.0,412.0
1034.0,0.0
514.0,240.0
679.0,520.0
929.0,494.0
879.0,329.0
538.0,373.0
552.0,448.0
911.0,557.0
695.0,370.0
683.0,278.0
925.0,330.0
1096.0,466.0
715.0,345.0
653.0,445.0
671.0,475.0
797.0,504.0
1361.0,663.0
1211.0,743.0
649.0,395.0
946.0,597.0
876.0,509.0
1273.0,559.0
903.0,519.0
793.0,400.0
961.0,486.0
1114.0,501.0
394.0,209.0
971.0,501.0
567.0,327.0
790.0,521.0
953.0,0.0
804.0,171.0
778.0,335.0
787.0,504.0
1256.0,327.0
816.0,434.0
975.0,528.0
913.0,360.0
899.0,610.0
349.0,0.0
740.0,509.0
875.0,448.0
784.0,560.0
1128.0,591.0
726.0,250.0
940.0,646.0
620.0,474.0
1140.0,580.0
781.0,482.0
776.0,436.0
879.0,453.0
882.0,551.0
652.0,426.0
1000.0,536.0
741.0,394.0
489.0,394.0
1336.0,905.0
863.0,534.0
766.0,585.0
884.0,526.0
1133.0,492.0
1092.0,522.0
1075.0,668.0
796.0,535.0
699.0,480.0
1256.0,480.0
984.0,543.0
798.0,513.0
965.0,374.0
890.0,411.0
1040.0,342.0
1091.0,645.0
896.0,0.0
943.0,522.0
1244.0,629.0
876.0,492.0
641.0,401.0
512.0,291.0
1201.0,407.0
761.0,422.0
1109.0,613.0
777.0,464.0
1257.0,451.0
959.0,462.0
593.0,343.0
1069.0,444.0
911.0,542.0
852.0,387.0
919.0,541.0
1006.0,418.0
1225.0,625.0
887.0,336.0
765.0,461.0
899.0,633.0
1057.0,600.0
934.0,438.0
888.0,508.0
560.0,398.0
678.0,319.0
1164.0,554.0
1258.0,577.0
663.0,542.0
832.0,548.0
907.0,587.0
844.0,443.0
844.0,567.0
1192.0,585.0
921.0,516.0
611.0,246.0
1128.0,484.0
760.0,442.0
831.0,405.0
1010.0,640.0
1014.0,522.0
814.0,451.0
946.0,372.0
504.0,123.0
661.0,287.0
749.0,433.0
842.0,451.0
920.0,499.0
1266.0,729.0
563.0,378.0
916.0,490.0
797.0,505.0
1145.0,564.0
1241.0,743.0
1235.0,616.0
809.0,535.0
978.0,430.0
481.0,402.0
1193.0,637.0
810.0,597.0
1322.0,620.0
405.0,375.0
963.0,544.0
973.0,593.0
1097.0,609.0
653.0,486.0
853.0,524.0
1249.0,530.0
982.0,445.0
964.0,515.0
1317.0,742.0
891.0,482.0
815.0,424.0
804.0,540.0
924.0,518.0
768.0,354.0
888.0,368.0
790.0,411.0
944.0,573.0
739.0,472.0
679.0,0.0
761.0,502.0
566.0,312.0
535.0,321.0
784.0,521.0
1160.0,613.0
1168.0,581.0
1219.0,550.0
1246.0,569.0
481.0,353.0
477.0,231.0
1099.0,534.0
722.0,469.0
861.0,467.0
772.0,393.0
1069.0,544.0
704.0,426.0
746.0,341.0
667.0,431.0
813.0,432.0
969.0,634.0
1150.0,498.0
1039.0,514.0
914.0,520.0
660.0,276.0
761.0,517.0
847.0,525.0
699.0,518.0
1221.0,572.0
1459.0,772.0
867.0,503.0
843.0,554.0
667.0,388.0
1110.0,560.0
1295.0,596.0
1237.0,614.0
507.0,371.0
899.0,492.0
802.0,497.0
311.0,245.0
671.0,472.0
832.0,353.0
613.0,442.0
926.0,443.0
701.0,480.0
985.0,362.0
728.0,591.0
758.0,548.0
1032.0,527.0
883.0,569.0
814.0,274.0
899.0,570.0
838.0,524.0
802.0,318.0
885.0,508.0
1274.0,658.0
804.0,614.0
838.0,456.0
807.0,454.0
781.0,511.0
991.0,515.0
968.0,486.0
893.0,384.0
1022.0,467.0
1033.0,440.0
938.0,604.0
966.0,474.0
754.0,513.0
817.0,424.0
972.0,533.0
508.0,328.0
917.0,585.0
788.0,442.0
855.0,491.0
763.0,597.0
899.0,0.0
866.0,343.0
697.0,509.0
553.0,435.0
657.0,353.0
963.0,317.0
823.0,414.0
682.0,439.0
767.0,528.0
1031.0,472.0
895.0,468.0
682.0,450.0
791.0,488.0
829.0,515.0
970.0,532.0
816.0,511.0
917.0,535.0
777.0,438.0
845.0,530.0
901.0,523.0
1252.0,595.0
630.0,440.0
745.0,509.0
1232.0,673.0
720.0,392.0
773.0,321.0
501.0,459.0
1197.0,0.0
594.0,354.0
1232.0,568.0
997.0,566.0
1191.0,547.0
951.0,527.0
1229.0,536.0
668.0,354.0
546.0,304.0
963.0,569.0
758.0,423.0
652.0,132.0
880.0,514.0
1042.0,639.0
1059.0,466.0
917.0,472.0
820.0,272.0
1105.0,607.0
597.0,462.0
900.0,587.0
931.0,500.0
915.0,0.0
705.0,409.0
589.0,388.0
1350.0,510.0
694.0,484.0
897.0,495.0
854.0,469.0
1184.0,647.0
648.0,389.0
1060.0,391.0
1028.0,490.0
1045.0,505.0
1239.0,595.0
1324.0,685.0
516.0,266.0
1191.0,514.0
916.0,540.0
664.0,461.0
953.0,442.0
842.0,343.0
774.0,305.0
874.0,470.0
1174.0,516.0
998.0,531.0
916.0,123.0
786.0,0.0
1154.0,574.0
924.0,504.0
720.0,0.0
839.0,417.0
900.0,537.0
922.0,456.0
830.0,538.0
788.0,354.0
1037.0,439.0
915.0,436.0
1188.0,523.0
627.0,430.0
1111.0,507.0
917.0,274.0
820.0,487.0
462.0,336.0
929.0,517.0
956.0,653.0
1081.0,495.0
733.0,446.0
845.0,524.0
653.0,487.0
538.0,367.0
1283.0,588.0
668.0,370.0
933.0,475.0
1243.0,590.0
674.0,380.0
296.0,104.0
817.0,507.0
764.0,487.0
476.0,261.0
894.0,435.0
951.0,504.0
880.0,461.0
567.0,466.0
546.0,371.0
602.0,445.0
527.0,363.0
